label	document
0	던 색동저고리를 선택했다
1	색동저고리라 색이 엄청 더 많이 들어갔는데도 진짜 너무 예쁘다 다들 너무 사진찍느라 바쁜 창덕궁이라 둘이 같이 찍은 사진이 셀카밖에 없었던 게 아쉬워서 나가기 전 입구에서 지나가던 사람에게 부탁해서 같이 찍은 사진도 하나 건졌다
1	비록 급하게 찍은 사진이지만 한복은 독사진도 예쁜데 같이 찍은 사진은 더 예쁜 것 같다
1	다음에 한 복 입고 한 번 더 와야지 이상 가격도 착하고 위치도 좋은 정도가 아니라 진짜 걍 창덕궁 바로 앞 에다가 종류도 엄청 많고 직원들도 친절했구 주말엔 사람이 좀 많다는 것 빼고는 다 좋았던 창덕궁 수 한복 이용 후기와 창덕궁 관람 후기였다
0	창덕궁 창덕궁은 년 경복궁의 이궁으로 지은 궁궐 경복궁의 동쪽에 위치한다 하여 이웃한 창경궁과 더불어 동궐이라 불리며 조선의 임금님 들이 가장 오랫동안 머무시던 궁궐이라 합니다
0	우리나라 궁궐을 가장 대표할 수 있는 궁이라 그런지관광 온 외국인 들이 정말 많습니다
0	우리나라 사람보다 더 많은 것 같습니다
-1	창덕궁은 후원이 고궁의 운치를 제대로 느낄 수 있는 곳인데 아쉽게도 창덕궁 후원은 지금은 예약제로 시간의 제약이 있어서 다음에 다시돌아봐야 할거 같아 아주 오래전에 들러 보았던 기억들을 떠 올리며궁궐을 돌아 보고 반디 앤 루니스 서점에 잠시 들러 책 한 권 사고 오늘의 나들이를마무리하였습니다
1	임금님이 일반적인 업무를 보시던 곳 인정전 입니다고궁과 어우러진 하늘의 구름이 한 폭의 그림을 이루고 있습니다
0	이곳은 여자들이 거처한 곳이 아닐까 싶습니다
1	아담하게 지어져 있습니다
1	화사한꽃 속에서 하나가 되어 보고 싶어서 한적한 뜰 안에서 사람들을 피해 잠시 머물다 나옵니다
1	자두 꽃 향이 매화와 라일락을 섞어 놓은 듯 발길을 잡습니다
0	서울특별시 종로구 와룡동
1	부용정부용지정조대왕의정열이 깃들어 있는곳규장각주합루그의 마음이 느껴지는듯 합니다
0	앙부일구 해시계해설사님께 시간 읽는 법을 배웠습니다
0	정말 과학적인 해시계 절기와 시간이 딱 맞았습니다
0	길게 그려진 줄은 한시간을그사이 작은줄은 분씩 그려진 거라고 합니다
0	그리고 옆으로 그려진 줄은 절기를 나타냅니다
1	세종대왕과 그의 과학자들 장영실등대단한 우리나라 천재들께 감사해요
0	현재 우리가 쓰는 시간은 동경을 기준으로 하기때문에 분 정도 차이가 있답니다
0	우리나라 시간은 이 해시계가 정확하다고 하더군요
0	올리브 그린 줌마들 시간 분 정도 걷는데 피곤하진 않았는지 영화당 앞 마당춘당대 앞에서 휴식합니다
1	후원 화장실은 이곳에서만 사용가능하답니다
0	휴식도 이곳에서만 창덕궁 후원은 음식물등은 반입금지 구역부용지
0	창덕궁 나들이 창덕궁 홍매화 월 초 창덕궁 매화를 보러다녀왔어요
1	오랜만에 꺼낸 카메라와 함께 창덕궁은 성인 입장료가 원후원도 보고싶었으나후원은 미리 예약을 하고 들어가야하는곳 비원이라고도 불렸지만비원은 일제 잔재 단어라고 했음이름모를 꽃해가 좋았던 봄날나들이 왔던 가족 연인들이 많았다
1	아름다운 기와비슷한것 같지만경복궁하고는 또 다른 느낌돌아 볼수록 후원이 궁금했던창덕궁창덕궁에 홍매화가 아름답다 알려졌는데두 그루만 있어모든 사람들이 저렇게 매화를 찍기위해 몰려있다
1	벨라박도 기회를 기다리는중예쁘다 카메라 챙겨가길 잘했다
1	그래도 셀카는폰카가 짱임여기는 숨은 명소매화나무 뒷편사람이 없어 한적하게 찍을 수 있었다
-1	낙선재낙선재 뒤편 정원이 아름답다고하니안 볼 수 없지아직 초봄이라 앙상하지만좀 더 지나면 초록초록하니 예쁠 듯낙선재 뒤뜰에도 하얀 매화가 뚠뚠내년 봄엔 꼭 후원을 보기를
1	창덕궁 나들이 창덕궁 우리나라 임금님이 경복궁보다 더 오래 사용했다는 궁궐울 꼬맹이들에게 우리나라에도 임금님이 사셨던 궁궐을 보여 주기 위해서울 나들이 제 코스로 선택한 곳이다
-1	너무 어렸을때는 이해하기 어렵고 지겨워 할 것 같아 아껴두었다
1	이제 초등 학년이니까 보여 주면 좋을 것 같아서 온 곳 엄마인 나도 이제야 와 본 곳 되시겠다
1	반성모드 너무 늦게 와서 미얀 돈화문창덕궁 입구 들어서는 정문 웅장하구나 문 하나 넘었는데 딴 세상이닷 너무 멋진거 아니야 한 달만 늦었어도 구경하기 힘들 것 같다
1	날씨가 너무 더워 잉봄에 오길 정말 잘 했다
0	빵이라도 팔았으면 하는 작은 소망 낙선재의 장낙문조 기 저 현판은 흥선 대원군이 직접 쓴 현판보물이지만 잘 알지 못하고 그냥 지나간다고 하니 가시면 주의깊게 보시길 낙선재는 헌종이 후궁인 경빈 김씨를 맞이 하면서 지어진 곳이라고 한다낙선재는 후궁을 맞이한 해에 지어져 헌종이 거쳐 했으며 석복헌은 다음해인 년에 지어져 경빈 김씨의 처소가되었다고 한다경빈 김씨 처소의 표주박 모양 조롱 조롱 아이를 많이 낳으라는 뜻이 있다는데헌종이 승하하자 경빈 김씨는 자식을 두지 못하고 일년 반 뒤 지금의 인사동 쪽으로 내기게 되어 사가에 지내다가 세에 세상을 떠났다 한다문 앞에서본 모습이 한 폭의 그림같아서 우연히 들은 슬픈 사랑이야기를 듣고 보니 단청이 없는낙선재가 소박해 보이면서도 슬퍼 보인다
1	낙선재 쪽에서 바라보는 철쭉 유난히도 화려하고 이뿌게 피었다
1	여태 본 철쭉들 중엔 최고인 듯 앙부일구창덕궁은 년유네스코에 세계문화유산으로 지정된 곳이다
1	창덕궁은 비교적 원형 보존이 잘 되어 있는 궁궐이고유일의 궁궐정원인 후원과 함께해서 더 가치가 높다고 한다꼭 가보시길 추천
0	구가 하도 가자가자해서 결국 갔다
0	온 창덕궁 종로 가역에서 만났는데 종로 가역이 호선 환승역이다
1	보니엄청나게 거대했다
1	호선방향으로 나가야한다 표지판을 따라 슝슝가면 창덕궁이 보인다
0	매표소는 총 개인데입장료는 원었던듯 비원에 들어가려면 원을 더 내야한다 시간마다 가이드가 다르다 난 한쿡인 가이드로 맨 마지막 시간에 들어갔다
-1	공사중이어서 조금 아쉬웠다
0	이렇게 물과 함께 어우러진 공간이 참 많았다
1	요기 한복입으신 분이 우리 가이드 언니 먼 옛날 무한도전에서 궁특집했을때 궁나들이 가고싶다고 가고싶다고 그러다가정말거의 년만에 갔다
0	비원 시크릿가든 히히성균관 사신들의 나날 규장각 각신들의 나날 을 읽으며 규장각이란 단어가 나올 때 마다난 창덕궁이 생각났었다
0	규장각 앞에 물이 있는데 그 앞에서 신하들과 임금이 시짓기를 했다
0	나가이드언니의 말에 의하면 그러하였다
1	어릴 때 매번 경복궁만 가다가 창덕궁은 처음이라 그런지 신선했다
-1	아 비원이 그렇게 넓은 줄 모르고 난 힐 신고 갔었다가 정말 대 박 고생했다
0	창덕궁갔다가 옆에 북촌잠시 들렸다가북촌에서 쭉 가면 삼청동이 나온다
0	삼청동에서 잠시 머무르다가 쭈 욱 내려가면 인사동이 나오고인사동에서 길건너면 종각이니 조금만 더 가면 청계천으로 갈 수 있다
0	그래도 아쉽다면 청계천에서 쭉쭉쭉 을지로입구를 지나 명동으로 가서하루를 마치시길
0	관람정 일대입니다
1	네채의 정자와 전각이 있는데 어디서 보든 그 풍경이 다르다고 하여서한곳에서 여러 느낌을 느낄수 있는 공간입니다
0	공사중이여서 좀 아쉬웠지만 그래도 다행이 일주일전에 공사가 완료된 존덕정을 볼 수 있어서 좋았습니다
0	부채꼴 모양으로 유명한 관람정입니다
0	존덕정 입니다
1	마루가 이중의 모양으로 생긴 특이한 모양입니다
0	마루도 그렇고 지붕도 겹쳐져 있음을 알 수 있습니다
0	그 앞에는 여러 조형물들도 있는데아무래도 조명을 놓던가 그런 용도로 사용하였겠지요
0	존덕정 옆에 폄우사 입니다
0	활을 쏘는 장소의 정자로 만들어 놓은 사정인지 효명세자가 독서를 하셨다는 기록도 있어서 그 역할은 분명치 않습니다
0	그리고 그 앞 우측에 팔자걸음 모양으로 만들어 놓은 판석이 있는데정확하지는 않지만 효명세자가 팔자걸음을 연습하기 위해 만들어 놓았다는 이야기가 있다고 합니다
1	한복의아름다움을찾아서한복 입고 창덕궁나들이세계에 다양한 전통 의복들이 있지만그중 가장 빛나는 건 단연 우리 한복이라고 생각해요
1	자유로운 곡선들 그리고 고운 오방 색감들 세계인이 인정한 가장 아름다운전통 의복이라고 해도 과언이 아니에요
1	이제 곧 추석이 다가오고 있는 만큼한복에 대한 포스팅을 하지 않을 수가 없네요
-1	지금은 한복에 대한 관심이 많지만사실 고등학교 때 실제로 한복을 만들어보기전까지한복에 대해 잘 알지 못했고한복에 대한 관심도 크지 않았어요
1	하지만 한복을 만들어 나가면서 깨달은 한복의 아름다움그리고 한복 축제 서포터즈 활동을 하면서한복의 위대함도 깨닫게 되었지요
1	오랜만에 가족끼리 좋은 추억을 쌓고자선선한 날씨 한복 입고 궁나들이 에 나섰어요
1	굳이 자기 한복을 가지고 있지 않아도 돼요 요즘에는 한복을 대여해주는 곳이 많더라고요
1	저는 화려한 한복도 좋지만수수한 한복을 더욱 선호하는 편이거든요
0	그래서 안국역 근처에 있는 화수목한복 에서한복을 대여해 입었어요
1	저희 가족이 방문한 곳은 창덕궁이날 한복 입고 궁 나들이를 하는 가족은저희밖에 없었기 때문에 많은 외국인들의주목을 받을 수 있었답니다
1	많은 외국인과 사진을 찍을 수 있던 날이었어요
1	저는 덕분에 한복도 알린 것 같아기분이 좋았어요
1	물론 스튜디오에서 한복 입고가족사진 찍는 것도 좋지만이렇게 궁에 나와따스한 햇볕을 받으며자연스럽게 사진을 담는 것도 너무 좋아요
